dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
UNSW_NB15,Mutual Information Feature Selection,0.2,0.1,instruction,2,random_forest,0.17605940002249554,2.3474586669666073,0.88,0.847457627118644,1.0,0.9174311926605505,0.8489594987692997,0.9568,0.9568,0.9758033833402672,0.12190644937119792,0.16138058724220225,0.12,3.0,225.0,0.64,48.0,0.0,0.0,261.4266666666667,19607.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.21333333333333335,0.0,0.0,0.32,0.7272727272727273,0.7171156093549365,0.0,6.579544500040356,3.0,,,,,,,,,,1.0550458715596331,-0.047865975269246186
UNSW_NB15,Mutual Information Feature Selection,0.3,0.1,instruction,2,random_forest,0.1805652000475675,2.407536000634233,0.8533333333333334,0.8421052631578947,0.96,0.897196261682243,0.8206911540969355,0.9263999999999999,0.9263999999999999,0.9638709175147434,0.12397622444574928,0.169092587860777,0.14666666666666667,3.0,225.0,0.6533333333333333,49.0,0.0,0.0,261.4266666666667,19607.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.21777777777777776,0.0,0.0,0.32666666666666666,0.7272727272727273,0.7170829545618516,0.0,6.579544500040356,3.0,,,,,,,,,,1.0317757009345794,-0.027631044290938656
UNSW_NB15,Mutual Information Feature Selection,0.4,0.1,instruction,2,random_forest,0.176647900021635,2.3553053336218,0.8,0.7868852459016393,0.96,0.8648648648648649,0.7401247401247402,0.9103999999999999,0.9103999999999999,0.9553339637762874,0.14638751727094063,0.13417765493512201,0.2,3.0,225.0,0.8,60.0,0.0,0.0,261.32,19599.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.75,0.7417310175790001,0.0,6.579544500040356,3.0,,,,,,,,,,0.9945945945945946,0.004700352526439411
UNSW_NB15,Mutual Information Feature Selection,0.5,0.1,instruction,2,random_forest,0.19500569999217987,2.6000759998957315,0.8266666666666667,0.8775510204081632,0.86,0.8686868686868687,0.8068924539512775,0.9103999999999999,0.9103999999999999,0.9618409118244028,0.128670505643116,0.14707976275123286,0.17333333333333334,3.0,225.0,1.0666666666666667,80.0,0.0,0.0,261.3466666666667,19601.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.35555555555555557,0.0,0.0,0.26666666666666666,0.7692307692307692,0.762051593323217,0.0,6.579544500040356,3.0,,,,,,,,,,0.9989898989898991,0.0008783487044355942
UNSW_NB15,Embedding Similarity Selection,0.0,0.1,instruction,2,random_forest,0.6344360000221059,8.459146666961411,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9680000000000001,0.9680000000000001,0.9825185005044104,0.10488052505021356,0.1762265351164729,0.06666666666666667,3.0,225.0,0.0,0.0,0.29333333333333333,22.0,251.96,18897.0,16.24,1218.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.09777777777777778,0.29333333333333333,0.0,0.6666666666666667,0.6644768381243231,0.06445467534529291,0.8342442000284791,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Embedding Similarity Selection,0.1,0.1,instruction,2,random_forest,0.613490300020203,8.17987066693604,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9616,0.9616,0.978654436060575,0.10834839558351524,0.181149640258431,0.06666666666666667,3.0,225.0,0.013333333333333334,1.0,0.38666666666666666,29.0,248.36,18627.0,20.813333333333333,1561.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.0044444444444444444,0.1288888888888889,0.38666666666666666,0.013333333333333334,0.7,0.7033066802586729,0.08380308154829012,0.8342442000284791,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Embedding Similarity Selection,0.2,0.1,instruction,2,random_forest,0.7145353999803774,9.527138666405031,0.92,0.9074074074074074,0.98,0.9423076923076923,0.9059364548494984,0.96,0.96,0.9781500898776574,0.1125816767459385,0.1767817857820331,0.08,3.0,225.0,0.05333333333333334,4.0,0.28,21.0,251.82666666666665,18887.0,15.026666666666667,1127.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.017777777777777778,0.09333333333333334,0.28,0.02666666666666667,0.7272727272727273,0.727503570861768,0.0596706729496479,0.8342442000284791,3.0,,,,,,,,,,0.989423076923077,0.010073260073260037
UNSW_NB15,Embedding Similarity Selection,0.3,0.1,instruction,2,random_forest,0.7285208000103012,9.713610666804016,0.92,0.9074074074074074,0.98,0.9423076923076923,0.9059364548494984,0.9672,0.9672,0.9827861375056824,0.10824605595618564,0.17336659088850637,0.08,3.0,225.0,0.05333333333333334,4.0,0.32,24.0,250.52,18789.0,17.173333333333332,1288.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.017777777777777778,0.10666666666666667,0.32,0.02666666666666667,0.7272727272727273,0.7288861954027964,0.06855074777795518,0.8342442000284791,3.0,,,,,,,,,,0.989423076923077,0.010073260073260037
UNSW_NB15,Embedding Similarity Selection,0.4,0.1,instruction,2,random_forest,0.7589341999846511,10.119122666462014,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9728000000000001,0.9728000000000001,0.9853388103043892,0.10596266818059569,0.19324921477166396,0.06666666666666667,3.0,225.0,0.06666666666666667,5.0,0.38666666666666666,29.0,249.26666666666668,18695.0,21.746666666666666,1631.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.022222222222222223,0.1288888888888889,0.38666666666666666,0.022222222222222223,0.75,0.7536436233297314,0.08724257822947312,0.8342442000284791,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Embedding Similarity Selection,0.5,0.1,instruction,2,random_forest,0.7625354999909177,10.167139999878904,0.88,0.9183673469387755,0.9,0.9090909090909091,0.8663101604278074,0.8976000000000001,0.8976000000000001,0.9490560626399792,0.13565951718369265,0.1707180884694405,0.12,3.0,225.0,0.28,21.0,0.56,42.0,242.09333333333333,18157.0,29.68,2226.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.09333333333333334,0.18666666666666668,0.56,0.07,0.7692307692307692,0.7795811836115326,0.12259734537643883,0.8342442000284791,3.0,,,,,,,,,,0.9545454545454546,0.04329004329004327
UNSW_NB15,TeleMin-RAG,0.0,0.1,instruction,2,random_forest,0.6655099000199698,8.873465333599597,0.8133333333333334,0.78125,1.0,0.8771929824561403,0.7441520467836258,0.9683999999999999,0.9683999999999999,0.9843825369560648,0.12401037627067528,0.18268583765195714,0.18666666666666668,1.76,132.0,0.0,0.0,0.0,0.0,153.36,11502.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.0,0.0,0.0,0.8044444444444444,0.7957777738321408,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,1.0,0.0
UNSW_NB15,TeleMin-RAG,0.1,0.1,instruction,2,random_forest,0.6732004000223242,8.976005333630988,0.8,0.8070175438596491,0.92,0.8598130841121495,0.7554879374049119,0.9039999999999999,0.9039999999999999,0.9606108673784217,0.14064900082107973,0.1616903832639621,0.2,1.2133333333333334,91.0,0.16,12.0,0.0,0.0,105.72,7929.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.13186813186813187,0.0,0.0,0.16,0.8786666666666667,0.8737058392532892,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,0.9801869158878505,0.017379898343990785
UNSW_NB15,TeleMin-RAG,0.2,0.1,instruction,2,random_forest,0.7203549999976531,9.604733333302041,0.76,0.7857142857142857,0.88,0.8301886792452831,0.710548885077187,0.8548,0.8548,0.9408115530552682,0.17072494443709305,0.1728395081948741,0.24,1.28,96.0,0.26666666666666666,20.0,0.0,0.0,111.52,8364.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.20833333333333334,0.0,0.0,0.13333333333333333,0.8836363636363637,0.8793265138289738,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,0.9464150943396228,0.047004303210857246
UNSW_NB15,TeleMin-RAG,0.3,0.1,instruction,2,random_forest,0.6769392000278458,9.025856000371277,0.7733333333333333,0.8,0.88,0.8380952380952381,0.7301587301587302,0.8799999999999999,0.8799999999999999,0.953403438561361,0.14554607388611232,0.18839869126688336,0.22666666666666666,1.2266666666666666,92.0,0.22666666666666666,17.0,0.0,0.0,106.82666666666667,8012.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.18478260869565216,0.0,0.0,0.11333333333333333,0.8884848484848484,0.8843917290737775,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,0.9554285714285715,0.03909774436090219
UNSW_NB15,TeleMin-RAG,0.4,0.1,instruction,2,random_forest,0.7069574999623001,9.426099999497334,0.7466666666666667,0.803921568627451,0.82,0.8118811881188119,0.7120630430389978,0.8460000000000001,0.8460000000000001,0.9371264740422349,0.15042570401821523,0.12770244828921426,0.25333333333333335,1.1466666666666667,86.0,0.30666666666666664,23.0,0.0,0.0,99.89333333333333,7492.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.26744186046511625,0.0,0.0,0.10222222222222223,0.9044444444444444,0.901272962074691,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,0.9255445544554457,0.06531179433732837
UNSW_NB15,TeleMin-RAG,0.5,0.1,instruction,2,random_forest,0.6995216000359505,9.326954667146007,0.7066666666666667,0.7692307692307693,0.8,0.7843137254901961,0.6629901960784313,0.8175999999999999,0.8175999999999999,0.9256513004637235,0.15101697750862647,0.11400531943521956,0.29333333333333333,1.16,87.0,0.32,24.0,0.0,0.0,101.02666666666667,7577.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.27586206896551724,0.0,0.0,0.08,0.9107692307692308,0.9080182094081942,0.0,10.763741399976425,1.5885714285714285,0.72,1.0,6.0,True,True,True,True,True,True,0.8941176470588236,0.09287925696594423
